"tree_species","neighbourhood_name","tree_scale","height_range_id","n_tree"
"PRUNUS CERASIFERA","VICTORIA-FRASERVIEW","short",1,636
"PRUNUS CERASIFERA","WEST END","short",1,109
"PRUNUS CERASIFERA","WEST POINT GREY","short",1,204
"PRUNUS SERRULATA","ARBUTUS-RIDGE","short",1,221
"PRUNUS SERRULATA","DOWNTOWN","short",1,85
"PRUNUS SERRULATA","DUNBAR-SOUTHLANDS","short",1,570
"PRUNUS SERRULATA","FAIRVIEW","short",1,177
"PRUNUS SERRULATA","GRANDVIEW-WOODLAND","short",1,306
"PRUNUS SERRULATA","HASTINGS-SUNRISE","short",1,206
"PRUNUS SERRULATA","KENSINGTON-CEDAR COTTAGE","short",1,312
"PRUNUS SERRULATA","KERRISDALE","short",1,413
"PRUNUS SERRULATA","KILLARNEY","short",1,217
"PRUNUS SERRULATA","KITSILANO","short",1,341
"PRUNUS SERRULATA","MARPOLE","short",1,402
"PRUNUS SERRULATA","MOUNT PLEASANT","short",1,403
"PRUNUS SERRULATA","OAKRIDGE","short",1,494
"PRUNUS SERRULATA","RENFREW-COLLINGWOOD","short",1,519
"PRUNUS SERRULATA","RILEY PARK","short",1,347
"PRUNUS SERRULATA","SHAUGHNESSY","short",1,304
"PRUNUS SERRULATA","SOUTH CAMBIE","short",1,216
"PRUNUS SERRULATA","STRATHCONA","short",1,99
"PRUNUS SERRULATA","SUNSET","short",1,419
"PRUNUS SERRULATA","VICTORIA-FRASERVIEW","short",1,385
"PRUNUS SERRULATA","WEST END","short",1,226
"PRUNUS SERRULATA","WEST POINT GREY","short",1,180
"TILIA EUCHLORA   X","DOWNTOWN","short",1,33
"TILIA EUCHLORA   X","DUNBAR-SOUTHLANDS","short",1,20
"TILIA EUCHLORA   X","FAIRVIEW","short",1,12
"TILIA EUCHLORA   X","GRANDVIEW-WOODLAND","short",1,13
"TILIA EUCHLORA   X","HASTINGS-SUNRISE","short",1,28
"TILIA EUCHLORA   X","KENSINGTON-CEDAR COTTAGE","short",1,18
"TILIA EUCHLORA   X","KILLARNEY","short",1,123
"TILIA EUCHLORA   X","RENFREW-COLLINGWOOD","short",1,11
"TILIA EUCHLORA   X","RILEY PARK","short",1,22
"TILIA EUCHLORA   X","STRATHCONA","short",1,7
"TILIA EUCHLORA   X","SUNSET","short",1,32
"TILIA EUCHLORA   X","WEST POINT GREY","short",1,7
"ACER CAMPESTRE","ARBUTUS-RIDGE","short",2,75
"ACER CAMPESTRE","DOWNTOWN","short",2,73
"ACER CAMPESTRE","DUNBAR-SOUTHLANDS","short",2,168
"ACER CAMPESTRE","FAIRVIEW","short",2,51
"ACER CAMPESTRE","GRANDVIEW-WOODLAND","short",2,116
"ACER CAMPESTRE","HASTINGS-SUNRISE","short",2,158
"ACER CAMPESTRE","KENSINGTON-CEDAR COTTAGE","short",2,185
"ACER CAMPESTRE","KERRISDALE","short",2,60
"ACER CAMPESTRE","KILLARNEY","short",2,73
"ACER CAMPESTRE","KITSILANO","short",2,83
"ACER CAMPESTRE","MARPOLE","short",2,87
"ACER CAMPESTRE","MOUNT PLEASANT","short",2,59
"ACER CAMPESTRE","OAKRIDGE","short",2,82
"ACER CAMPESTRE","RENFREW-COLLINGWOOD","short",2,186
"ACER CAMPESTRE","RILEY PARK","short",2,113
"ACER CAMPESTRE","SHAUGHNESSY","short",2,100
"ACER CAMPESTRE","SOUTH CAMBIE","short",2,92
"ACER CAMPESTRE","STRATHCONA","short",2,36
"ACER CAMPESTRE","SUNSET","short",2,167
"ACER CAMPESTRE","VICTORIA-FRASERVIEW","short",2,166
"ACER CAMPESTRE","WEST END","short",2,38
"ACER CAMPESTRE","WEST POINT GREY","short",2,20
"ACER FREEMANI   X","ARBUTUS-RIDGE","short",2,22
"ACER FREEMANI   X","DOWNTOWN","short",2,220
"ACER FREEMANI   X","DUNBAR-SOUTHLANDS","short",2,64
"ACER FREEMANI   X","FAIRVIEW","short",2,119
"ACER FREEMANI   X","GRANDVIEW-WOODLAND","short",2,168
"ACER FREEMANI   X","HASTINGS-SUNRISE","short",2,160
"ACER FREEMANI   X","KENSINGTON-CEDAR COTTAGE","short",2,233
"ACER FREEMANI   X","KERRISDALE","short",2,72
"ACER FREEMANI   X","KILLARNEY","short",2,174
"ACER FREEMANI   X","KITSILANO","short",2,90
"ACER FREEMANI   X","MARPOLE","short",2,137
"ACER FREEMANI   X","MOUNT PLEASANT","short",2,121
"ACER FREEMANI   X","OAKRIDGE","short",2,78
"ACER FREEMANI   X","RENFREW-COLLINGWOOD","short",2,275
"ACER FREEMANI   X","RILEY PARK","short",2,123
"ACER FREEMANI   X","SHAUGHNESSY","short",2,92
"ACER FREEMANI   X","SOUTH CAMBIE","short",2,108
"ACER FREEMANI   X","STRATHCONA","short",2,47
"ACER FREEMANI   X","SUNSET","short",2,219
"ACER FREEMANI   X","VICTORIA-FRASERVIEW","short",2,143
"ACER FREEMANI   X","WEST END","short",2,138
"ACER FREEMANI   X","WEST POINT GREY","short",2,32
"ACER PLATANOIDES","ARBUTUS-RIDGE","short",2,104
"ACER PLATANOIDES","DOWNTOWN","short",2,209
"ACER PLATANOIDES","DUNBAR-SOUTHLANDS","short",2,320
"ACER PLATANOIDES","FAIRVIEW","short",2,130
"ACER PLATANOIDES","GRANDVIEW-WOODLAND","short",2,215
"ACER PLATANOIDES","HASTINGS-SUNRISE","short",2,447
"ACER PLATANOIDES","KENSINGTON-CEDAR COTTAGE","short",2,418
"ACER PLATANOIDES","KERRISDALE","short",2,366
"ACER PLATANOIDES","KILLARNEY","short",2,113
"ACER PLATANOIDES","KITSILANO","short",2,264
"ACER PLATANOIDES","MARPOLE","short",2,157
"ACER PLATANOIDES","MOUNT PLEASANT","short",2,133
"ACER PLATANOIDES","OAKRIDGE","short",2,173
"ACER PLATANOIDES","RENFREW-COLLINGWOOD","short",2,447
"ACER PLATANOIDES","RILEY PARK","short",2,212
"ACER PLATANOIDES","SHAUGHNESSY","short",2,363
"ACER PLATANOIDES","SOUTH CAMBIE","short",2,116
"ACER PLATANOIDES","STRATHCONA","short",2,73
"ACER PLATANOIDES","SUNSET","short",2,390
"ACER PLATANOIDES","VICTORIA-FRASERVIEW","short",2,251
"ACER PLATANOIDES","WEST END","short",2,93
"ACER PLATANOIDES","WEST POINT GREY","short",2,246
"ACER RUBRUM","ARBUTUS-RIDGE","short",2,124
"ACER RUBRUM","DOWNTOWN","short",2,549
"ACER RUBRUM","DUNBAR-SOUTHLANDS","short",2,307
"ACER RUBRUM","FAIRVIEW","short",2,222
"ACER RUBRUM","GRANDVIEW-WOODLAND","short",2,204
"ACER RUBRUM","HASTINGS-SUNRISE","short",2,264
"ACER RUBRUM","KENSINGTON-CEDAR COTTAGE","short",2,327
"ACER RUBRUM","KERRISDALE","short",2,229
"ACER RUBRUM","KILLARNEY","short",2,256
"ACER RUBRUM","KITSILANO","short",2,111
"ACER RUBRUM","MARPOLE","short",2,198
"ACER RUBRUM","MOUNT PLEASANT","short",2,211
"ACER RUBRUM","OAKRIDGE","short",2,163
"ACER RUBRUM","RENFREW-COLLINGWOOD","short",2,412
"ACER RUBRUM","RILEY PARK","short",2,133
"ACER RUBRUM","SHAUGHNESSY","short",2,148
"ACER RUBRUM","SOUTH CAMBIE","short",2,137
"ACER RUBRUM","STRATHCONA","short",2,132
"ACER RUBRUM","SUNSET","short",2,332
"ACER RUBRUM","VICTORIA-FRASERVIEW","short",2,182
"ACER RUBRUM","WEST END","short",2,187
"ACER RUBRUM","WEST POINT GREY","short",2,60
"CARPINUS BETULUS","ARBUTUS-RIDGE","short",2,71
"CARPINUS BETULUS","DOWNTOWN","short",2,174
"CARPINUS BETULUS","DUNBAR-SOUTHLANDS","short",2,33
"CARPINUS BETULUS","FAIRVIEW","short",2,47
"CARPINUS BETULUS","GRANDVIEW-WOODLAND","short",2,190
"CARPINUS BETULUS","HASTINGS-SUNRISE","short",2,314
"CARPINUS BETULUS","KENSINGTON-CEDAR COTTAGE","short",2,290
"CARPINUS BETULUS","KERRISDALE","short",2,71
"CARPINUS BETULUS","KILLARNEY","short",2,257
"CARPINUS BETULUS","KITSILANO","short",2,71
"CARPINUS BETULUS","MARPOLE","short",2,234
"CARPINUS BETULUS","MOUNT PLEASANT","short",2,202
"CARPINUS BETULUS","OAKRIDGE","short",2,77
"CARPINUS BETULUS","RENFREW-COLLINGWOOD","short",2,253
"CARPINUS BETULUS","RILEY PARK","short",2,149
"CARPINUS BETULUS","SHAUGHNESSY","short",2,63
"CARPINUS BETULUS","SOUTH CAMBIE","short",2,60
"CARPINUS BETULUS","STRATHCONA","short",2,64
"CARPINUS BETULUS","SUNSET","short",2,329
"CARPINUS BETULUS","VICTORIA-FRASERVIEW","short",2,178
"CARPINUS BETULUS","WEST END","short",2,46
"CARPINUS BETULUS","WEST POINT GREY","short",2,18
"FAGUS SYLVATICA","ARBUTUS-RIDGE","short",2,61
"FAGUS SYLVATICA","DOWNTOWN","short",2,289
"FAGUS SYLVATICA","DUNBAR-SOUTHLANDS","short",2,115
"FAGUS SYLVATICA","FAIRVIEW","short",2,102
"FAGUS SYLVATICA","GRANDVIEW-WOODLAND","short",2,162
"FAGUS SYLVATICA","HASTINGS-SUNRISE","short",2,163
"FAGUS SYLVATICA","KENSINGTON-CEDAR COTTAGE","short",2,313
"FAGUS SYLVATICA","KERRISDALE","short",2,72
"FAGUS SYLVATICA","KILLARNEY","short",2,78
"FAGUS SYLVATICA","KITSILANO","short",2,127
"FAGUS SYLVATICA","MARPOLE","short",2,100
"FAGUS SYLVATICA","MOUNT PLEASANT","short",2,127
"FAGUS SYLVATICA","OAKRIDGE","short",2,92
"FAGUS SYLVATICA","RENFREW-COLLINGWOOD","short",2,360
"FAGUS SYLVATICA","RILEY PARK","short",2,155
"FAGUS SYLVATICA","SHAUGHNESSY","short",2,29
"FAGUS SYLVATICA","SOUTH CAMBIE","short",2,79
"FAGUS SYLVATICA","STRATHCONA","short",2,222
"FAGUS SYLVATICA","SUNSET","short",2,182
"FAGUS SYLVATICA","VICTORIA-FRASERVIEW","short",2,380
"FAGUS SYLVATICA","WEST END","short",2,80
"FAGUS SYLVATICA","WEST POINT GREY","short",2,30
"MAGNOLIA KOBUS","ARBUTUS-RIDGE","short",2,106
"MAGNOLIA KOBUS","DOWNTOWN","short",2,48
"MAGNOLIA KOBUS","DUNBAR-SOUTHLANDS","short",2,39
"MAGNOLIA KOBUS","FAIRVIEW","short",2,13
"MAGNOLIA KOBUS","GRANDVIEW-WOODLAND","short",2,91
"MAGNOLIA KOBUS","HASTINGS-SUNRISE","short",2,112
"MAGNOLIA KOBUS","KENSINGTON-CEDAR COTTAGE","short",2,200
"MAGNOLIA KOBUS","KERRISDALE","short",2,150
"MAGNOLIA KOBUS","KILLARNEY","short",2,126
"MAGNOLIA KOBUS","KITSILANO","short",2,204
"MAGNOLIA KOBUS","MARPOLE","short",2,43
"MAGNOLIA KOBUS","MOUNT PLEASANT","short",2,35
"MAGNOLIA KOBUS","OAKRIDGE","short",2,124
"MAGNOLIA KOBUS","RENFREW-COLLINGWOOD","short",2,221
"MAGNOLIA KOBUS","RILEY PARK","short",2,133
"MAGNOLIA KOBUS","SHAUGHNESSY","short",2,96
"MAGNOLIA KOBUS","SOUTH CAMBIE","short",2,47
"MAGNOLIA KOBUS","STRATHCONA","short",2,13
"MAGNOLIA KOBUS","SUNSET","short",2,29
"MAGNOLIA KOBUS","VICTORIA-FRASERVIEW","short",2,139
"MAGNOLIA KOBUS","WEST END","short",2,9
"MAGNOLIA KOBUS","WEST POINT GREY","short",2,45
"PRUNUS CERASIFERA","ARBUTUS-RIDGE","short",2,388
"PRUNUS CERASIFERA","DUNBAR-SOUTHLANDS","short",2,679
"PRUNUS CERASIFERA","FAIRVIEW","short",2,88
"PRUNUS CERASIFERA","GRANDVIEW-WOODLAND","short",2,89
"PRUNUS CERASIFERA","HASTINGS-SUNRISE","short",2,555
"PRUNUS CERASIFERA","KENSINGTON-CEDAR COTTAGE","short",2,310
"PRUNUS CERASIFERA","KERRISDALE","short",2,407
"PRUNUS CERASIFERA","KILLARNEY","short",2,313
